cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Nfat5,-5.256201,Mllt10,-19.45487,Parm1,-16.13764,Plekhf2,-10.108375,Tmem107,-2.9814992,Slc25a51,-23.34163,Trim2,-10.989125,Wbscr27,-10.561354,Ankrd1,-11.928572,Cbarp,-11.063831,C77080,-7.276532,Klhl13,-2.1602418
Serf2,-5.2564144,H2afy2,-19.471535,Mrpl46,-16.141893,Aamp,-10.128681,March9,-2.9816844,Nrip1,-23.343925,Dzip1,-11.000638,Sepn1,-10.566535,Pqlc3,-11.940321,Lipa,-11.064813,Mapkapk2,-7.280547,Gbp7,-2.1632524
Igsf8,-5.2632437,Znhit3,-19.487421,Tsr1,-16.14212,Zfp750,-10.145091,Kat7,-2.9824085,Ethe1,-23.34534,Romo1,-11.009669,Purb,-10.5865135,Rbm5,-11.94169,Tsc22d4,-11.076436,Fas,-7.2806873,Gm17501,-2.163494
Tex19.1,-5.2750225,Mrps17,-19.497133,Supt6,-16.189245,Dusp22,-10.1477995,Gab1,-2.9911628,Rell1,-23.3495,Anapc13,-11.012428,AI661453,-10.5887985,Tead3,-11.949978,Mras,-11.084405,Ntmt1,-7.2830486,Fam92a,-2.1650324
Tmem246,-5.2845397,Mphosph6,-19.49959,Vrk1,-16.202265,Haus1,-10.148455,C330027C09Rik,-3.005063,Surf1,-23.355549,Smim4,-11.027268,Kif13a,-10.592836,H6pd,-11.952273,Ncor2,-11.08927,Fam58b,-7.284559,Tenm4,-2.165593
Lcn2,-5.285477,Chmp1a,-19.519367,Nf2,-16.2023,Pum3,-10.153541,Cadm4,-3.0151017,Arl8b,-23.355692,Armcx1,-11.03252,Tmem9b,-10.609751,Ubxn4,-11.957404,Anapc2,-11.094378,Tgm2,-7.285279,Nub1,-2.1658223
Tek,-5.2943277,Dse,-19.527122,Exosc1,-16.20676,Mllt10,-10.15495,Phyhip,-3.015335,Ndufv1,-23.363663,Tmem14a,-11.061707,Scpep1,-10.61332,Tpi1,-11.971864,Tgfbr3,-11.105584,Pdcd10,-7.285593,Smox,-2.1666741
Prima1,-5.2954946,Gnl1,-19.532578,Nampt,-16.207607,Igsf9,-10.180336,Adat2,-3.0195427,Runx1,-23.36848,Atrx,-11.061869,Ethe1,-10.616165,Mdfi,-11.975656,Trim12c,-11.118889,Egfr,-7.285678,Lap3,-2.1672986
Zfp354c,-5.299564,Senp3,-19.54078,Gtf3a,-16.226086,Ly6g6c,-10.182701,Gdpd3,-3.0213163,Psmd2,-23.38222,Gngt2,-11.085014,Slk,-10.616691,Trio,-11.987213,Mvb12a,-11.121948,Csde1,-7.287789,Gskip,-2.1701932
Polr2i,-5.311525,Nop56,-19.544538,Mal,-16.228987,Sigirr,-10.18284,Tst,-3.0237586,Irf7,-23.392134,Ago1,-11.085238,Gjb5,-10.617339,Sirt2,-11.9990015,Wnt4,-11.133043,Erdr1,-7.289896,B9d1,-2.1739252
A430105I19Rik,-5.3197336,Cldn3,-19.564377,Pgam5,-16.230328,Arhgap11a,-10.186076,Pou3f2,-3.02482,Ier3ip1,-23.392296,Sorbs2,-11.088461,Krt14,-10.619724,P4ha3,-12.007605,Il17rc,-11.137307,Ythdf1,-7.2921124,Eno3,-2.174012
Trappc2l,-5.320111,Mrpl11,-19.571222,Prpf40a,-16.236036,Batf3,-10.188738,Slc25a3,-3.0269587,Hdac3,-23.408592,Npr2,-11.092864,Rab12,-10.621192,Copg1,-12.022726,Foxn3,-11.137855,Cnot7,-7.292603,Pitpna,-2.1751595
Rilpl2,-5.321178,Larp7,-19.575018,Aasdhppt,-16.245947,Tigar,-10.211892,Nup210,-3.0314872,Plekhf1,-23.432077,Slc7a3,-11.104795,Mark2,-10.624874,Cyp26b1,-12.024168,Fam110a,-11.1510315,Gadd45a,-7.2930923,Klc3,-2.1753786
Eif1ax,-5.3234453,Fam192a,-19.58561,Pym1,-16.252691,Kif20a,-10.231812,Slc39a4,-3.0362186,4833439L19Rik,-23.437326,Gstt1,-11.139754,Fam83h,-10.627748,Raly,-12.032842,Abhd16a,-11.171097,Trip6,-7.299662,Gjb2,-2.1764991
Ebf3,-5.3365574,Hnrnpl,-19.59465,Psmg1,-16.257025,Prpf31,-10.241151,Platr10,-3.036978,Vcan,-23.439356,Htra1,-11.140302,Csad,-10.635467,Degs1,-12.035643,Tmem106b,-11.176013,Rb1cc1,-7.301242,Ap1s1,-2.178358
Pbx3,-5.3369374,Prss8,-19.595629,Elovl6,-16.266352,Mphosph10,-10.25389,4933402E13Rik,-3.0405114,Acadm,-23.443087,Eif1b,-11.157341,Ggnbp2,-10.648472,Trip11,-12.045064,Pkd2,-11.176817,Pias4,-7.302071,Maoa,-2.178817
Sesn3,-5.337422,Zfp622,-19.604122,Pin4,-16.282627,Coa7,-10.279947,Mmp3,-3.051101,Dync1li2,-23.44443,Cbx5,-11.165933,Dlg1,-10.648715,Cd44,-12.051641,Celf4,-11.188742,Cdc26,-7.3025446,Bak1,-2.1817818
Plekho1,-5.339952,Malsu1,-19.60495,Pum3,-16.283918,Tufm,-10.2924185,Ctnnal1,-3.0574589,Esyt2,-23.453264,Lpar6,-11.169703,Hspa9,-10.650213,Pak3,-12.0530205,1110032A03Rik,-11.193741,Tmem205,-7.304214,Anxa5,-2.1831548
Slc39a6,-5.34104,Mia3,-19.610168,Cox5b,-16.303938,Bspry,-10.306303,Pantr1,-3.058469,Hyal2,-23.464693,Dcps,-11.17971,Aamdc,-10.659411,Chpf2,-12.053692,B3gnt9,-11.198438,Fam120a,-7.3049717,Gpx8,-2.1881127
Tcl1,-5.3478417,Aamp,-19.611273,Dars,-16.304007,Mylpf,-10.338552,Mpzl3,-3.061791,Mcl1,-23.46752,Cers4,-11.198764,Bnip2,-10.6647215,Mettl9,-12.062055,Pik3r3,-11.207286,Npepps,-7.3090844,Nr3c1,-2.1882677
Angpt1,-5.3483834,Rexo1,-19.61147,Ube2t,-16.320381,Ttc1,-10.340084,Mtcl1,-3.0655081,Dcun1d5,-23.47203,Foxd1,-11.199641,Lamb2,-10.674912,Rusc2,-12.064014,Lrrc41,-11.211265,Cbx1,-7.3126254,Aspn,-2.1903622
Tnfrsf9,-5.3529596,Pdcd6ip,-19.615498,Raly,-16.326511,Dcaf4,-10.346591,Taf7l,-3.0733082,Sec61a1,-23.486557,Sms,-11.207712,Plekho2,-10.694033,Lrrc41,-12.072499,Ntmt1,-11.21482,Sppl3,-7.3169246,Ppp1r11,-2.191028
Spire1,-5.3794093,Anp32e,-19.624998,Chmp2b,-16.328112,Uxt,-10.355271,Defb1,-3.0762959,Vps35,-23.49597,Zadh2,-11.211991,Idh3a,-10.701954,Kdm6b,-12.073778,Actr10,-11.229486,Csnk1g2,-7.3178096,Ddx18,-2.1921942
Ubtd1,-5.3822894,Mrpl40,-19.650444,Exosc7,-16.331396,Prpf19,-10.359841,Acacb,-3.0801022,Med25,-23.51397,Plscr2,-11.216752,Gm2a,-10.709785,Sertad2,-12.100035,Arhgef40,-11.232666,Polr2c,-7.319209,Hmg20b,-2.1927564
Cyp7b1,-5.382637,Mycbp,-19.654112,Cinp,-16.336163,Atp6v1e1,-10.365915,C1qtnf4,-3.0816085,Serpinf1,-23.5233,Rpl36al,-11.221096,Pvr,-10.712443,Bace1,-12.118564,Nfkb2,-11.25083,Ak3,-7.3200216,Zfhx2,-2.1928267
Tmprss5,-5.384736,Bak1,-19.656572,Fbxo5,-16.362328,Uba2,-10.368542,Zcchc3,-3.084738,Smpd1,-23.523453,Snrpb,-11.231196,Myo1d,-10.716381,Skil,-12.124266,Epb41l3,-11.280492,Setd1b,-7.32054,Slc39a14,-2.193443
Dnmt3l,-5.3888755,Thrap3,-19.660118,Fignl2,-16.373308,Snx3,-10.372075,Uqcrfs1,-3.0932682,Ergic1,-23.53065,Zfp532,-11.247052,Lrrc8c,-10.718069,Zfand5,-12.124485,Hotairm1,-11.298225,Lpcat3,-7.3313394,Nop14,-2.1963418
Slc43a2,-5.390185,Ppil3,-19.667032,Aimp2,-16.38434,Cript,-10.383158,Grhl3,-3.0951052,Ptk7,-23.563162,Brk1,-11.278185,Ndel1,-10.719454,Use1,-12.130344,Igf1,-11.316271,Tigd2,-7.335605,Aamdc,-2.1975925
Fam213b,-5.3924203,Polr3k,-19.669846,Ahsa1,-16.390387,Lap3,-10.393817,Dcn,-3.09905,Sept2,-23.563395,1110001J03Rik,-11.297185,Mrc2,-10.725311,Mfhas1,-12.132635,Ptrh1,-11.343187,Ip6k1,-7.3370447,Zfp219,-2.1980019
Dusp23,-5.3925476,Atp6ap1,-19.67042,Haus4,-16.393442,Thop1,-10.3954735,Lipg,-3.1019893,Camk2g,-23.5693,Mrpl17,-11.300698,Nfkb1,-10.726431,Pcgf5,-12.141164,Mapk13,-11.359613,Gtf2h1,-7.3373256,Kif1a,-2.1992962
Mtss1l,-5.3957024,Zcchc11,-19.670774,Tmeff1,-16.39373,Ltv1,-10.42658,3110082I17Rik,-3.1023972,Plbd2,-23.576363,Cdo1,-11.3400755,Adam9,-10.733626,Rgs16,-12.1431265,Triobp,-11.359765,Mia3,-7.339126,Tspan6,-2.1993396
Ppp1r14a,-5.3960996,Tnfrsf12a,-19.67484,Gemin6,-16.403738,Chaf1a,-10.432584,Nsg2,-3.1071668,Atxn1,-23.580324,Rsf1,-11.341938,Gnpnat1,-10.74551,Atp5l,-12.147691,Hipk3,-11.371578,Pik3ca,-7.3391743,Acot1,-2.2011964
Mavs,-5.3992834,Plat,-19.69524,Hdac1,-16.410345,Nfu1,-10.43454,Mfsd7c,-3.1109822,Reep3,-23.581068,Cyb5r1,-11.38368,Eda2r,-10.746663,Prkacb,-12.16583,Tmed4,-11.380873,U2af1,-7.3393826,Adsl,-2.206479
Zfp9,-5.406539,Fam50a,-19.703342,Uaca,-16.417948,Ccdc115,-10.441267,Dnph1,-3.1184266,Thap11,-23.582193,Dse,-11.387658,Irf7,-10.749197,Cep170,-12.182004,Thbd,-11.384884,Trim41,-7.340151,Nfib,-2.2074528
Lncenc1,-5.4069467,Mrpl43,-19.70428,Polr3d,-16.439672,Cenpn,-10.472683,Serpinb5,-3.1189625,Smim15,-23.588282,Os9,-11.3958235,Tmem159,-10.772558,Srgap3,-12.184066,Rtn3,-11.385771,Larp7,-7.356994,Hnrnpr,-2.2075148
Psrc1,-5.4143,Pik3r1,-19.70899,Chaf1a,-16.447914,Aaas,-10.482466,Erdr1,-3.1227062,Atraid,-23.59057,Tmem242,-11.39959,Car13,-10.77257,Soat1,-12.192092,Plat,-11.389473,Plpp1,-7.3641114,Lgals7,-2.2087162
Nod1,-5.4307036,Tmem192,-19.714752,Crcp,-16.450203,Armc10,-10.494507,Pim3,-3.124209,Ankrd17,-23.609001,Srsf3,-11.424763,Acp6,-10.774264,Snx21,-12.19415,Mpc2,-11.392352,Mnat1,-7.3669696,Spop,-2.210521
Bcl2,-5.4465995,Ppif,-19.717373,Tgs1,-16.452612,Pxmp2,-10.514539,2510046G10Rik,-3.1285992,Eif1a,-23.618248,Ppp2r4,-11.4514,Aff4,-10.774365,Rgl1,-12.194626,Plaur,-11.3949375,Fam133b,-7.367983,Pik3r3,-2.212665
M1ap,-5.448075,Gsk3b,-19.724163,Cmas,-16.466656,Samd10,-10.52444,Pik3cb,-3.1319063,Slc38a10,-23.628996,Fosl2,-11.453593,Paics,-10.7790985,Gm17501,-12.1977005,Gpc6,-11.405375,Mplkip,-7.369796,Zc3h15,-2.215022
Tigd2,-5.458349,Polr2j,-19.734818,Tmem123,-16.4696,Ccdc86,-10.529837,Mfap4,-3.1348777,Gpr137b,-23.664074,Nedd9,-11.458386,Pip4k2c,-10.784501,Ppp1r9b,-12.197808,Gpc1,-11.412505,Jmjd6,-7.3756323,Vps72,-2.215688
Ldlrad4,-5.4680076,Golph3,-19.735632,Trim25,-16.47065,Mall,-10.558516,C78283,-3.136216,Ppp1r2,-23.671848,Akr1e1,-11.466594,Yap1,-10.816858,Tram1,-12.203305,Creld1,-11.43107,Zmynd11,-7.37664,Tmem184c,-2.2161841
Dcaf12l1,-5.46934,Tmem97,-19.736,Fxr1,-16.478256,Sf3a2,-10.560343,Fam73a,-3.1398954,Csnk1e,-23.688251,Zfp365,-11.467729,Cpped1,-10.833921,Pon2,-12.209466,Map2k3,-11.482607,Skil,-7.378196,Kdm5b,-2.216389
2510009E07Rik,-5.4722295,Ndufb3,-19.738472,Ldlr,-16.484224,Ccz1,-10.562154,Aim1l,-3.1453502,Ece1,-23.69423,Csad,-11.469643,Tsc22d2,-10.847361,B4galnt1,-12.236213,Arid3a,-11.487472,Rc3h1,-7.3788447,Higd2a,-2.2172656
Dse,-5.477336,Bola3,-19.763636,Rap2c,-16.491629,Trim6,-10.564727,Arhgef39,-3.1469567,Dtx3,-23.707008,Serping1,-11.477305,Utf1,-10.850799,Ttc14,-12.24288,Vti1b,-11.489274,Smarce1,-7.381056,Brd3,-2.2200816
Tpp1,-5.481502,Senp6,-19.765951,Lypla2,-16.494041,Brcc3,-10.580069,Aspm,-3.1472409,Mesdc2,-23.707558,Dcn,-11.486714,Dync1h1,-10.872462,Sh3kbp1,-12.245417,Eva1c,-11.495991,Arl2bp,-7.381505,Bloc1s2,-2.2205033
Pcdh19,-5.4844522,Pafah1b2,-19.781729,Mrpl45,-16.524834,Atad2,-10.586728,Nrarp,-3.1486886,Rnf14,-23.726095,Smim20,-11.507219,Gmfb,-10.873775,Tnfrsf11b,-12.245421,Mdfi,-11.498248,Txnl1,-7.381837,Zdbf2,-2.226487
Mical1,-5.4852805,Anapc10,-19.787313,Ltv1,-16.526245,Zranb2,-10.592919,1700086L19Rik,-3.1506467,Nadk,-23.72684,Arhgef25,-11.510496,Golgb1,-10.874612,Lifr,-12.264388,Lynx1,-11.511385,Cse1l,-7.38239,Pgrmc1,-2.2271092
Tram1l1,-5.4854193,Amot,-19.806864,Trim71,-16.542732,Hdgfrp2,-10.6086645,Sssca1,-3.1532886,Itgav,-23.740728,Irak1bp1,-11.516223,Dsg2,-10.874937,Ptrh1,-12.268822,Sorcs2,-11.522976,Lpp,-7.384708,Rnf169,-2.2274978
Pfkm,-5.487218,Amfr,-19.808079,Ss18,-16.55527,Cdc42se2,-10.616231,Gstp2,-3.1576712,Psmd10,-23.744833,Lama4,-11.521144,Insig2,-10.87618,Bcl7c,-12.276318,Rhbdf1,-11.532947,Lamp1,-7.385879,Hspbp1,-2.2277935
Tmem263,-5.489094,Ankrd12,-19.81305,Ppp5c,-16.55575,Nras,-10.619141,Srgn,-3.1587071,Amfr,-23.75619,Efnb1,-11.5298,Hist1h1c,-10.88293,Ptpn11,-12.281361,Marveld1,-11.543952,Snx27,-7.3872285,Bin1,-2.229249
Serpinb9e,-5.4906235,Zranb2,-19.815794,Acsl3,-16.563337,Mrpl20,-10.634308,Nespas,-3.1621037,Rbm7,-23.772463,Ccdc88a,-11.53181,Ehbp1l1,-10.891422,Prkar1b,-12.28195,Gskip,-11.54992,Smad5,-7.387484,Smc6,-2.229948
Gpr108,-5.496468,Pdgfa,-19.818373,Cct4,-16.56578,Ska1,-10.635738,Irs2,-3.1773956,Eif1b,-23.77885,Hsp90b1,-11.547472,P3h3,-10.899784,Nfia,-12.306042,Dnmt3a,-11.554423,Birc5,-7.3892713,Ilk,-2.2308846
Col8a1,-5.508295,Adm,-19.819258,Safb,-16.571123,Timm9,-10.637318,Mageb16,-3.1891947,Cops2,-23.802956,Cx3cl1,-11.549148,Efemp2,-10.9231825,Dhrs1,-12.310323,Acsl5,-11.556439,Ccdc88a,-7.38941,Cx3cl1,-2.2338867
Serpinb9d,-5.5098286,Rtfdc1,-19.81992,Nsf,-16.57248,Krtdap,-10.646766,Hmgxb4,-3.1908386,Upf3a,-23.809423,Patz1,-11.551917,Zbtb20,-10.937728,Arrdc3,-12.323301,Nrip1,-11.562844,Ablim1,-7.39137,Hotairm1,-2.236345
Car9,-5.5209956,Nap1l4,-19.823538,Arglu1,-16.609331,Immt,-10.647167,Hp,-3.1987455,Trim35,-23.812862,Rhobtb3,-11.55396,Wdr35,-10.943881,Rhox5,-12.330702,Rgl1,-11.564189,Dhx9,-7.3955603,D10Jhu81e,-2.2368186
Gm15867,-5.5317984,Arl6ip6,-19.824352,Ckap2l,-16.609741,Hist1h1e,-10.649329,Ppp1r13b,-3.2038221,2410004B18Rik,-23.813402,Ctnnal1,-11.559203,Dusp3,-10.948277,Sertad1,-12.336135,Lcn2,-11.579662,Gtse1,-7.395722,Fam53b,-2.2374244
Rps27,-5.533135,Yif1a,-19.829868,Polr3k,-16.615368,Tmem125,-10.654521,Stap2,-3.222142,Nt5c,-23.815641,Ckmt1,-11.5740185,Cemip,-10.97279,Trp53i13,-12.337498,Shc1,-11.582238,Arap2,-7.399051,Ccdc43,-2.2378151
Dync1h1,-5.5348234,Rac3,-19.84224,Cand1,-16.615654,3830417A13Rik,-10.682542,Usp10,-3.2264493,Golga4,-23.818329,Ctsh,-11.58134,Gpx7,-10.985214,A430105I19Rik,-12.337759,Vezf1,-11.589322,Pigf,-7.3992863,Pacsin3,-2.239835
Sema7a,-5.5374837,Cndp2,-19.845865,Dnaaf2,-16.620592,Ube2c,-10.7030115,Slc26a10,-3.2283788,Ypel5,-23.819017,Loxl2,-11.587321,Plekhg3,-10.9925165,Sec22b,-12.347135,Adcy6,-11.590733,Asxl2,-7.400972,Tmem173,-2.2409494
Cuta,-5.5599194,Timm8b,-19.847519,Cnot3,-16.632553,Jade3,-10.719593,Atp1b2,-3.2289312,Prkcsh,-23.827456,Pdgfrb,-11.587619,Capza2,-10.994646,Efr3a,-12.365557,Fez1,-11.591639,Lrp10,-7.401738,Brcc3,-2.2423162
Vsir,-5.560638,Aff4,-19.854784,Pkp2,-16.669107,Cd9,-10.740653,1700025G04Rik,-3.2379465,Hgs,-23.844763,Nicn1,-11.606352,Yipf1,-11.001834,Sash1,-12.378211,Ppt1,-11.593134,Kif1b,-7.4064326,Zfp704,-2.24451
Dppa4,-5.565431,Glul,-19.867981,Eif4e,-16.716648,Bub1,-10.744081,Gpr50,-3.2402897,Rnf5,-23.84513,Eif5a,-11.609283,Egln3,-11.007556,Clptm1l,-12.385825,Tcta,-11.595568,Dcaf12,-7.4111724,St6galnac4,-2.24788
Pnp,-5.5724955,Cox7c,-19.868935,Fdft1,-16.723503,Gatad2a,-10.745802,Ctdspl,-3.2441914,Sdha,-23.884995,Egfr,-11.629738,Arhgef12,-11.009995,Dnajb9,-12.403393,Stox2,-11.6005,Carhsp1,-7.4132824,Pcdh7,-2.247971
Plcl1,-5.579403,Sarnp,-19.8711,Eif4a3,-16.725903,Dcps,-10.750532,Fam83d,-3.2459111,Pdcd6ip,-23.91468,Hoxb7,-11.638922,Wsb2,-11.030308,Lpgat1,-12.416298,Bag2,-11.62437,Cdca8,-7.4176865,Atp5h,-2.24831
Map2k3,-5.5795684,Tead2,-19.879042,Psmb10,-16.728771,Mcm4,-10.752196,Plbd1,-3.2468886,Pef1,-23.921564,Tnks1bp1,-11.640033,Nagk,-11.035333,Morf4l2,-12.421515,Tmem127,-11.626588,Ckap4,-7.4183416,Bcam,-2.2488456
Pde9a,-5.6008167,Uchl3,-19.879519,Mrpl23,-16.72889,Tomm70a,-10.754724,Ttc7b,-3.2538242,Rab9,-23.9626,Ephb3,-11.64019,Osbpl3,-11.066569,Abhd2,-12.424488,Snrk,-11.630769,Furin,-7.4196973,1110012L19Rik,-2.2537022
Txndc15,-5.6022806,Exoc5,-19.885622,Psmd14,-16.73926,Zfp593,-10.775892,Mb,-3.25465,Usp18,-23.966259,Pstk,-11.660382,Hmces,-11.080626,Ip6k1,-12.428318,Sema3c,-11.631481,Arl8a,-7.4205956,Zfp36l1,-2.2542605
Fgd1,-5.6093183,Pbrm1,-19.887487,Tnpo1,-16.775093,5730559C18Rik,-10.779729,Atmin,-3.2558382,Rexo2,-23.982002,Slc16a11,-11.681263,Pabpc1,-11.083689,Ckb,-12.448209,Abhd8,-11.636064,Ccz1,-7.4221683,Mrps11,-2.2553399
Timm10b,-5.6138678,Elp5,-19.903368,Dynll2,-16.783607,Hap1,-10.789807,Satb1,-3.2618318,Phlda1,-23.984228,Dtymk,-11.681896,Mme,-11.105501,Vamp2,-12.448785,Tmem141,-11.646346,Fip1l1,-7.422576,Ppid,-2.2576926
Nampt,-5.6191993,Fam178a,-19.941544,Pea15a,-16.783613,Ankrd11,-10.794629,4833407H14Rik,-3.2622426,Cdc42se1,-23.98983,Ran,-11.713698,Col11a1,-11.107342,Acbd6,-12.449288,Amot,-11.660136,Usp3,-7.4235854,Stap2,-2.2593923
Tle6,-5.622453,Ccdc59,-19.94315,Iars,-16.797667,Kat7,-10.838153,Arg1,-3.2689478,Sepp1,-23.991209,Nuak1,-11.722972,Riok3,-11.1175995,Pkd2,-12.45512,Tnfaip2,-11.665869,Sptlc2,-7.423829,Stat1,-2.261286
Soat1,-5.6278358,Dcp2,-19.952291,Fam49b,-16.798288,Cib1,-10.850234,Tacc3,-3.2695978,Ptprs,-23.99708,Clns1a,-11.729072,Poldip2,-11.12392,Cd151,-12.458718,Hspb6,-11.677329,Foxp4,-7.4285526,Kctd10,-2.2626672
Fkbp1a,-5.6304164,Zfp593,-19.956665,Mrpl22,-16.79989,Pbx4,-10.865155,Ehf,-3.269931,Snap23,-24.016548,Atp5o,-11.730402,Mgat1,-11.126057,Ndufa13,-12.4602585,Slc39a14,-11.679253,Ebpl,-7.4350805,Psmd11,-2.2632234
Homer2,-5.633776,Acbd3,-19.958864,Mrpl30,-16.81528,Psmd11,-10.872107,Elavl3,-3.271229,Kdm6b,-24.024227,Nbea,-11.734334,Mink1,-11.131551,Plagl1,-12.460695,Tacstd2,-11.685754,Snx18,-7.4462004,Samm50,-2.2634406
Zcchc14,-5.6364574,Prr5,-19.98064,Gapvd1,-16.82066,Pithd1,-10.873854,Krt6a,-3.2714446,Cep170b,-24.025017,Sppl2a,-11.739352,Edem1,-11.135475,B3gat3,-12.468229,Arap2,-11.688225,Eif3c,-7.448322,Tmcc3,-2.263827
H2-Ab1,-5.636696,Klf5,-19.98112,Trip12,-16.82663,Nfkbib,-10.890728,Igfbp2,-3.272708,Trnau1ap,-24.026344,Psmb4,-11.767966,Ypel5,-11.138593,Msrb3,-12.476159,Nes,-11.701428,Fam173a,-7.4485655,Tm7sf3,-2.2655287
Apln,-5.6495275,Psma3,-19.987902,Atad2,-16.835264,Noc4l,-10.913936,Elf5,-3.2742815,Adss,-24.03364,Rhno1,-11.778111,Hbp1,-11.139867,Tpbpa,-12.479604,Ddx5,-11.726555,Fryl,-7.450461,Cct8,-2.2663558
Esam,-5.6654615,Eif4a2,-19.998606,Pard6g,-16.836658,Ndufs8,-10.917207,Fthl17f,-3.274604,Tspyl1,-24.038385,Msrb3,-11.804402,Ell2,-11.15049,Tmem184b,-12.480684,Cuedc2,-11.727365,Fblim1,-7.451177,Ripk3,-2.2665522
Ggct,-5.6662545,Rab15,-20.00373,D2Wsu81e,-16.843643,Tmem126a,-10.918765,Mfng,-3.2927792,Trim12c,-24.051443,Aspn,-11.813415,Cercam,-11.16431,PISD,-12.482714,Lgals9,-11.7333,Uri1,-7.4538126,Snhg11,-2.269296
Gper1,-5.667989,Slc25a51,-20.005919,Eprs,-16.848118,Zfhx2,-10.927815,Gpr87,-3.2937949,Ppil2,-24.05181,Lbp,-11.815195,Tgif1,-11.16551,Ndufv3,-12.48281,Ube2e2,-11.744389,Nr2f2,-7.453975,Rrs1,-2.270559
Pitpnm1,-5.6689224,Ccdc86,-20.012812,Nudcd3,-16.860752,Ect2,-10.931022,Zfp710,-3.296,Piezo1,-24.054106,Slc35e4,-11.824433,Frmd8,-11.168715,Heg1,-12.484417,Papss1,-11.748237,Tshz1,-7.456886,Wdr35,-2.2712002
Lrmp,-5.6742682,Uba6,-20.015081,Rassf7,-16.867481,Grwd1,-10.967731,Fut9,-3.2978618,Apbb2,-24.077051,Impa2,-11.841653,Bmpr2,-11.181206,P3h4,-12.484658,Ctdspl,-11.780542,Ybx1,-7.4571557,Dtd1,-2.271537
Mmp13,-5.682345,Nipbl,-20.02409,Rras2,-16.891865,Cops3,-10.971129,Cers3,-3.2991204,Rnft1,-24.095669,Stoml1,-11.850145,Myc,-11.192944,S100a6,-12.499958,Ankrd12,-11.790004,Fyttd1,-7.4578166,Hnrnpl,-2.2750127
Gnas,-5.683865,Inhba,-20.034035,Suz12,-16.893034,Mycn,-10.98334,Rangrf,-3.3038435,Adprhl2,-24.104033,Ift74,-11.879942,Mpzl2,-11.193934,Lrrc58,-12.501342,Socs5,-11.793633,Cpsf6,-7.461868,Ssna1,-2.2767494
Ctif,-5.6901035,Nid1,-20.040869,Ube2m,-16.909893,Gata3,-10.986895,Suv39h1,-3.305224,Ash1l,-24.131386,Ssbp1,-11.899157,Slc16a11,-11.195108,Grb14,-12.504465,Btg1,-11.799707,Med4,-7.4678583,Gnai2,-2.2773242
D10Jhu81e,-5.690952,Cnot7,-20.071825,Fam122b,-16.917845,Arhgef16,-10.993665,Pole,-3.3084452,Stx8,-24.143904,Smo,-11.9137745,Ndufb6,-11.204709,B3gnt9,-12.508251,Mgst2,-11.813006,Ythdc1,-7.4682393,Gtf2f1,-2.2802086
Adamts14,-5.695261,Lamtor3,-20.07648,Mif4gd,-16.926151,Cenpt,-10.994726,4930455G09Rik,-3.3090286,Pddc1,-24.146719,Cenpm,-11.9155,Eif4g1,-11.205589,Snap23,-12.546729,Mrpl54,-11.823577,Por,-7.469083,Uchl3,-2.280872
Gda,-5.6993427,Slc2a3,-20.078459,Eml4,-16.926365,Acsbg1,-11.010138,Rasd1,-3.315966,Ndfip1,-24.147491,Pycard,-11.92093,Arl8a,-11.219193,Ifi44,-12.551141,Cxx1a,-11.826516,Gbf1,-7.472854,Cpne2,-2.2815504
Radil,-5.7024593,Rnf126,-20.080696,Pkig,-16.930208,Ndufa11,-11.022855,Grtp1,-3.3176131,Usp47,-24.162891,Tspan17,-11.934693,Tbc1d2,-11.223022,Mia3,-12.5654955,Chmp5,-11.830981,Nifk,-7.474579,Cldn7,-2.2816784
Ccser2,-5.716354,Spc25,-20.087334,Arpp19,-16.931934,Fxn,-11.0253935,Snrnp25,-3.3218799,Angptl2,-24.171045,Bloc1s2,-11.9706745,Rapgef1,-11.266135,Cep170b,-12.573092,Gria3,-11.841745,N4bp2l2,-7.4767146,Parp9,-2.282636
Apbb1ip,-5.7235627,Agfg1,-20.090748,Faim,-16.952036,Rfc3,-11.029863,Ttc32,-3.3238714,Txnl1,-24.171745,Tmem98,-11.971037,1810037I17Rik,-11.266251,Pgk1,-12.576434,Sbsn,-11.860686,Hdac4,-7.476872,Unc5b,-2.2828074
C1qtnf3,-5.733098,Gmps,-20.091665,Ralgps2,-16.95953,Ddr1,-11.032074,Pou3f1,-3.3248956,Uqcrc1,-24.193216,Smarca2,-11.993057,Dlg5,-11.285042,Sncg,-12.589895,Cited2,-11.862859,Col18a1,-7.4776893,Mal,-2.2858634
Ormdl3,-5.737902,Stra13,-20.095205,Hmgcr,-16.986177,Tmem183a,-11.033335,Ska3,-3.3322105,Bag3,-24.197844,Nipbl,-11.994257,Prkcsh,-11.287132,Spsb1,-12.598082,Zdhhc20,-11.86389,Nr1h2,-7.479718,Pfdn4,-2.286407
